order_id,date,customer_id,age,gender,city,region,income,category,subcategory,price,quantity,discount_percent,final_amount,payment_method,customer_segment,marketing_campaign,marketing_channel,device_type,shipping_method,satisfaction_rating,returned,acquisition_source,customer_lifetime_value,retention_score,month,year,day_of_week,quarter,season,registration_date,days_since_registration,Average Order Value,revenue_per_customer,discount_amount,gross_revenue,net_revenue,roi,conversion_rate
ORD010000,2023-02-06,CUST02160,50,Male,Luxor,Upper Egypt,5374,Health,Personal Care,678,8,0,5424.0,Bank Transfer,Budget,No Campaign,Print,Desktop,Store Pickup,3.4,False,Event,65088.0,44.0,2,2023,Monday,Q1,Winter,2021-05-24,623,678.0,1.82,0.0,5424,5424.0,inf,4
ORD010001,2023-05-13,CUST01941,63,Female,Tanta,Delta,7235,Health,Pharmacy,482,8,0,-3856.0,Credit Card,Regular,No Campaign,Outdoor,Mobile,Standard,3.9,True,Direct,-189715.2,61.0,5,2023,Saturday,Q2,Spring,2021-05-28,715,-482.0,-1.29,0.0,3856,-3856.0,-inf,9
ORD010002,2023-12-01,CUST02824,51,Female,Sohag,Upper Egypt,4565,Electronics,Gaming,6753,1,14,5807.58,Credit Card,Budget,Holiday Special,Direct,Mobile,Standard,4.4,False,TV Ad,97567.34,69.0,12,2023,Friday,Q4,Winter,2021-04-01,974,5807.58,1.95,945.42,6753,5807.58,5.14,5
ORD010003,2022-01-13,CUST00372,42,Female,Sharm El Sheikh,Red Sea,9278,Health,Supplements,361,6,0,2166.0,Gift Card,Regular,No Campaign,Referral,Mobile,Store Pickup,3.2,False,Partnership,85773.6,66.0,1,2022,Thursday,Q1,Winter,2021-12-29,15,361.0,0.73,0.0,2166,2166.0,inf,7
ORD010004,2022-01-16,CUST02347,38,Female,Giza,Greater Cairo,9345,Electronics,Smartphones,3148,3,33,-6327.48,Buy Now Pay Later,Regular,New Year,Direct,Mobile,Standard,4.1,True,Paid Search,-129080.59,69.0,1,2022,Sunday,Q1,Winter,2021-12-23,24,-2109.16,-2.12,1038.84,9444,-6327.48,-7.09,3
ORD010005,2023-10-30,CUST00354,66,Male,Luxor,Upper Egypt,7752,Automotive,Tools,698,1,29,495.58,Credit Card,Regular,Flash Sale,Outdoor,Desktop,Store Pickup,4.0,False,Email,27356.02,69.0,10,2023,Monday,Q4,Fall,2021-09-27,763,495.58,0.17,202.42,698,495.58,1.45,4
ORD010006,2023-10-29,CUST01990,68,Male,Sharm El Sheikh,Red Sea,9381,Clothing,Formal,952,3,42,1656.48,Credit Card,Premium,Flash Sale,Referral,Tablet,Express,4.6,False,Email,55657.73,93.0,10,2023,Sunday,Q4,Fall,2021-12-16,682,552.16,0.56,399.84,2856,1656.48,3.14,4
ORD010007,2021-05-17,CUST00198,28,Male,Giza,Greater Cairo,13302,Electronics,Gaming,7285,1,0,7285.0,Digital Wallet,Premium,No Campaign,Referral,Desktop,Same Day,3.7,False,Affiliate,271002.0,63.0,5,2021,Monday,Q2,Spring,2021-05-11,6,7285.0,2.44,0.0,7285,7285.0,inf,8
ORD010008,2023-11-15,CUST01854,21,Male,Luxor,Upper Egypt,2941,Sports,Outdoor,570,3,13,1487.7,Digital Wallet,First-time,Black Friday,TV,Mobile,Express,3.5,False,Affiliate,82121.04,50.0,11,2023,Wednesday,Q4,Fall,2021-12-18,697,495.9,0.5,74.1,1710,1487.7,19.08,7
ORD010009,2021-07-06,CUST01360,34,Female,Mansoura,Delta,4163,Clothing,Shoes,648,2,28,933.12,Cash on Delivery,First-time,Flash Sale,Influencer,Mobile,Standard,4.3,False,Affiliate,36951.55,88.0,7,2021,Tuesday,Q3,Summer,2021-06-11,25,466.56,0.31,181.44,1296,933.12,4.14,5